DateJour,AR_Ref,TotalSortie,TotalEntree,ValeurSortie,ValeurEntree,StockFinal,jour_semaine,mois,trimestre
2025-06-04,MIS120,0.0,0.0,0.0,0.0,98.66,2,6,2
2025-06-05,MIS120,0.0,0.0,0.0,0.0,98.66,3,6,2
2025-06-06,MIS120,0.0,0.0,0.0,0.0,98.66,4,6,2
2025-06-07,MIS120,0.0,0.0,0.0,0.0,98.66,5,6,2
2025-06-08,MIS120,0.0,0.0,0.0,0.0,98.66,6,6,2
2025-06-09,MIS120,0.0,0.0,0.0,0.0,98.66,0,6,2
2025-06-10,MIS120,0.0,0.0,0.0,0.0,98.66,1,6,2
2025-06-11,MIS120,0.0,0.0,0.0,0.0,98.66,2,6,2
2025-06-12,MIS120,0.0,0.0,0.0,0.0,98.66,3,6,2
2025-06-13,MIS120,0.0,0.0,0.0,0.0,98.66,4,6,2
2025-06-14,MIS120,0.0,0.0,0.0,0.0,98.66,5,6,2
2025-06-15,MIS120,0.0,0.0,0.0,0.0,98.66,6,6,2
2025-06-16,MIS120,0.0,0.0,0.0,0.0,98.66,0,6,2
2025-06-17,MIS120,0.0,0.0,0.0,0.0,98.66,1,6,2
2025-06-18,MIS120,0.0,0.0,0.0,0.0,98.66,2,6,2
2025-06-19,MIS120,0.0,0.0,0.0,0.0,98.66,3,6,2
2025-06-20,MIS120,0.0,0.0,0.0,0.0,98.66,4,6,2
2025-06-21,MIS120,0.0,0.0,0.0,0.0,98.66,5,6,2
2025-06-22,MIS120,0.0,0.0,0.0,0.0,98.66,6,6,2
2025-06-23,MIS120,0.0,0.0,0.0,0.0,98.66,0,6,2
2025-06-24,MIS120,0.0,0.0,0.0,0.0,98.66,1,6,2
2025-06-25,MIS120,0.0,0.0,0.0,0.0,98.66,2,6,2
2025-06-26,MIS120,0.0,0.0,0.0,0.0,98.66,3,6,2
2025-06-27,MIS120,0.0,0.0,0.0,0.0,98.66,4,6,2
2025-06-28,MIS120,0.0,0.0,0.0,0.0,98.66,5,6,2
2025-06-29,MIS120,0.0,0.0,0.0,0.0,98.66,6,6,2
2025-06-30,MIS120,0.0,0.0,0.0,0.0,98.66,0,6,2
2025-07-01,MIS120,0.0,0.0,0.0,0.0,98.66,1,7,3
2025-07-02,MIS120,0.0,0.0,0.0,0.0,98.66,2,7,3
2025-07-03,MIS120,0.0,0.0,0.0,0.0,98.66,3,7,3
2025-07-04,MIS120,0.0,0.0,0.0,0.0,98.66,4,7,3
2025-07-05,MIS120,0.0,0.0,0.0,0.0,98.66,5,7,3
2025-07-06,MIS120,0.0,0.0,0.0,0.0,98.66,6,7,3
2025-07-07,MIS120,0.0,0.0,0.0,0.0,98.66,0,7,3
2025-07-08,MIS120,0.0,0.0,0.0,0.0,98.66,1,7,3
2025-07-09,MIS120,0.0,0.0,0.0,0.0,98.66,2,7,3
2025-07-10,MIS120,0.0,0.0,0.0,0.0,98.66,3,7,3
2025-07-11,MIS120,0.0,0.0,0.0,0.0,98.66,4,7,3
2025-07-12,MIS120,0.0,0.0,0.0,0.0,98.66,5,7,3
2025-07-13,MIS120,0.0,0.0,0.0,0.0,98.66,6,7,3
2025-07-14,MIS120,0.0,0.0,0.0,0.0,98.66,0,7,3
2025-07-15,MIS120,0.0,0.0,0.0,0.0,98.66,1,7,3
2025-07-16,MIS120,0.0,0.0,0.0,0.0,98.66,2,7,3
2025-07-17,MIS120,0.0,0.0,0.0,0.0,98.66,3,7,3
2025-07-18,MIS120,0.0,0.0,0.0,0.0,98.66,4,7,3
2025-07-19,MIS120,0.0,0.0,0.0,0.0,98.66,5,7,3
2025-07-20,MIS120,0.0,0.0,0.0,0.0,98.66,6,7,3
2025-07-21,MIS120,0.0,0.0,0.0,0.0,98.66,0,7,3
2025-07-22,MIS120,0.0,0.0,0.0,0.0,98.66,1,7,3
2025-07-23,MIS120,0.0,0.0,0.0,0.0,98.66,2,7,3
2025-07-24,MIS120,0.0,0.0,0.0,0.0,98.66,3,7,3
2025-07-25,MIS120,0.0,0.0,0.0,0.0,98.66,4,7,3
2025-07-26,MIS120,0.0,0.0,0.0,0.0,98.66,5,7,3
2025-07-27,MIS120,0.0,0.0,0.0,0.0,98.66,6,7,3
2025-07-28,MIS120,0.0,0.0,0.0,0.0,98.66,0,7,3
2025-07-29,MIS120,0.0,0.0,0.0,0.0,98.66,1,7,3
2025-07-30,MIS120,0.0,0.0,0.0,0.0,98.66,2,7,3
2025-07-31,MIS120,0.0,0.0,0.0,0.0,98.66,3,7,3
2025-08-01,MIS120,0.0,0.0,0.0,0.0,98.66,4,8,3
2025-08-02,MIS120,0.0,0.0,0.0,0.0,98.66,5,8,3
2025-08-03,MIS120,0.0,0.0,0.0,0.0,98.66,6,8,3
2025-08-04,MIS120,0.0,0.0,0.0,0.0,98.66,0,8,3
2025-08-05,MIS120,0.0,0.0,0.0,0.0,98.66,1,8,3
2025-08-06,MIS120,0.0,0.0,0.0,0.0,98.66,2,8,3
2025-08-07,MIS120,0.0,0.0,0.0,0.0,98.66,3,8,3
2025-08-08,MIS120,0.0,0.0,0.0,0.0,98.66,4,8,3
2025-08-09,MIS120,0.0,0.0,0.0,0.0,98.66,5,8,3
2025-08-10,MIS120,0.0,0.0,0.0,0.0,98.66,6,8,3
2025-08-11,MIS120,0.0,0.0,0.0,0.0,98.66,0,8,3
2025-08-12,MIS120,0.0,0.0,0.0,0.0,98.66,1,8,3
2025-08-13,MIS120,0.0,0.0,0.0,0.0,98.66,2,8,3
2025-08-14,MIS120,0.0,0.0,0.0,0.0,98.66,3,8,3
2025-08-15,MIS120,0.0,0.0,0.0,0.0,98.66,4,8,3
2025-08-16,MIS120,0.0,0.0,0.0,0.0,98.66,5,8,3
2025-08-17,MIS120,0.0,0.0,0.0,0.0,98.66,6,8,3
2025-08-18,MIS120,0.0,0.0,0.0,0.0,98.66,0,8,3
2025-08-19,MIS120,0.0,0.0,0.0,0.0,98.66,1,8,3
2025-08-20,MIS120,0.0,0.0,0.0,0.0,98.66,2,8,3
2025-08-21,MIS120,0.0,0.0,0.0,0.0,98.66,3,8,3
2025-08-22,MIS120,0.0,0.0,0.0,0.0,98.66,4,8,3
2025-08-23,MIS120,0.0,0.0,0.0,0.0,98.66,5,8,3
2025-08-24,MIS120,0.0,0.0,0.0,0.0,98.66,6,8,3
2025-08-25,MIS120,0.0,0.0,0.0,0.0,98.66,0,8,3
2025-08-26,MIS120,0.0,0.0,0.0,0.0,98.66,1,8,3
2025-08-27,MIS120,0.0,0.0,0.0,0.0,98.66,2,8,3
2022-12-31,MIS30,0.0,0.0,0.0,0.0,0.0,5,12,4
2023-01-01,MIS30,0.0,0.0,0.0,0.0,0.0,6,1,1
2023-01-02,MIS30,0.0,0.0,0.0,0.0,0.0,0,1,1
2023-01-03,MIS30,0.0,0.0,0.0,0.0,0.0,1,1,1
2023-01-04,MIS30,0.0,0.0,0.0,0.0,0.0,2,1,1
2023-01-05,MIS30,0.0,0.0,0.0,0.0,0.0,3,1,1
2023-01-06,MIS30,0.0,0.0,0.0,0.0,0.0,4,1,1
2023-01-07,MIS30,0.0,0.0,0.0,0.0,0.0,5,1,1
2023-01-08,MIS30,0.0,0.0,0.0,0.0,0.0,6,1,1
2023-01-09,MIS30,0.0,0.0,0.0,0.0,0.0,0,1,1
2023-01-10,MIS30,0.0,0.0,0.0,0.0,0.0,1,1,1
2023-01-11,MIS30,0.0,0.0,0.0,0.0,0.0,2,1,1
2023-01-12,MIS30,0.0,0.0,0.0,0.0,0.0,3,1,1
2023-01-13,MIS30,0.0,0.0,0.0,0.0,0.0,4,1,1
2023-01-14,MIS30,0.0,0.0,0.0,0.0,0.0,5,1,1
2023-01-15,MIS30,0.0,0.0,0.0,0.0,0.0,6,1,1
2023-01-16,MIS30,0.0,0.0,0.0,0.0,0.0,0,1,1
2023-01-17,MIS30,0.0,0.0,0.0,0.0,0.0,1,1,1
2023-01-18,MIS30,0.0,0.0,0.0,0.0,0.0,2,1,1
2023-01-19,MIS30,0.0,0.0,0.0,0.0,0.0,3,1,1
2023-01-20,MIS30,0.0,0.0,0.0,0.0,0.0,4,1,1
2023-01-21,MIS30,0.0,0.0,0.0,0.0,0.0,5,1,1
2023-01-22,MIS30,0.0,0.0,0.0,0.0,0.0,6,1,1
2023-01-23,MIS30,0.0,0.0,0.0,0.0,0.0,0,1,1
2023-01-24,MIS30,0.0,0.0,0.0,0.0,0.0,1,1,1
2023-01-25,MIS30,0.0,0.0,0.0,0.0,0.0,2,1,1
2023-01-26,MIS30,0.0,0.0,0.0,0.0,0.0,3,1,1
2023-01-27,MIS30,0.0,0.0,0.0,0.0,0.0,4,1,1
2023-01-28,MIS30,0.0,0.0,0.0,0.0,0.0,5,1,1
2023-01-29,MIS30,0.0,0.0,0.0,0.0,0.0,6,1,1
2023-01-30,MIS30,0.0,0.0,0.0,0.0,0.0,0,1,1
2023-01-31,MIS30,0.0,0.0,0.0,0.0,0.0,1,1,1
2023-02-01,MIS30,0.0,0.0,0.0,0.0,0.0,2,2,1
2023-02-02,MIS30,0.0,0.0,0.0,0.0,0.0,3,2,1
2023-02-03,MIS30,0.0,0.0,0.0,0.0,0.0,4,2,1
2023-02-04,MIS30,0.0,0.0,0.0,0.0,0.0,5,2,1
2023-02-05,MIS30,0.0,0.0,0.0,0.0,0.0,6,2,1
2023-02-06,MIS30,0.0,0.0,0.0,0.0,0.0,0,2,1
2023-02-07,MIS30,0.0,0.0,0.0,0.0,0.0,1,2,1
2023-02-08,MIS30,0.0,0.0,0.0,0.0,0.0,2,2,1
2023-02-09,MIS30,0.0,0.0,0.0,0.0,0.0,3,2,1
2023-02-10,MIS30,0.0,0.0,0.0,0.0,0.0,4,2,1
2023-02-11,MIS30,0.0,0.0,0.0,0.0,0.0,5,2,1
2023-02-12,MIS30,0.0,0.0,0.0,0.0,0.0,6,2,1
2023-02-13,MIS30,0.0,0.0,0.0,0.0,0.0,0,2,1
2023-02-14,MIS30,0.0,0.0,0.0,0.0,0.0,1,2,1
2023-02-15,MIS30,0.0,0.0,0.0,0.0,0.0,2,2,1
2023-02-16,MIS30,0.0,0.0,0.0,0.0,0.0,3,2,1
2023-02-17,MIS30,0.0,0.0,0.0,0.0,0.0,4,2,1
2023-02-18,MIS30,0.0,0.0,0.0,0.0,0.0,5,2,1
2023-02-19,MIS30,0.0,0.0,0.0,0.0,0.0,6,2,1
2023-02-20,MIS30,0.0,0.0,0.0,0.0,0.0,0,2,1
2023-02-21,MIS30,0.0,0.0,0.0,0.0,0.0,1,2,1
2023-02-22,MIS30,0.0,0.0,0.0,0.0,0.0,2,2,1
2023-02-23,MIS30,0.0,0.0,0.0,0.0,0.0,3,2,1
2023-02-24,MIS30,0.0,0.0,0.0,0.0,0.0,4,2,1
2023-02-25,MIS30,0.0,0.0,0.0,0.0,0.0,5,2,1
2023-02-26,MIS30,0.0,0.0,0.0,0.0,0.0,6,2,1
2023-02-27,MIS30,0.0,0.0,0.0,0.0,0.0,0,2,1
2023-02-28,MIS30,0.0,0.0,0.0,0.0,0.0,1,2,1
2023-03-01,MIS30,0.0,0.0,0.0,0.0,0.0,2,3,1
2023-03-02,MIS30,0.0,0.0,0.0,0.0,0.0,3,3,1
2023-03-03,MIS30,0.0,0.0,0.0,0.0,0.0,4,3,1
2023-03-04,MIS30,0.0,0.0,0.0,0.0,0.0,5,3,1
2023-03-05,MIS30,0.0,0.0,0.0,0.0,0.0,6,3,1
2023-03-06,MIS30,0.0,0.0,0.0,0.0,0.0,0,3,1
2023-03-07,MIS30,0.0,0.0,0.0,0.0,0.0,1,3,1
2023-03-08,MIS30,0.0,0.0,0.0,0.0,0.0,2,3,1
2023-03-09,MIS30,0.0,0.0,0.0,0.0,0.0,3,3,1
2023-03-10,MIS30,0.0,0.0,0.0,0.0,0.0,4,3,1
2023-03-11,MIS30,0.0,0.0,0.0,0.0,0.0,5,3,1
2023-03-12,MIS30,0.0,0.0,0.0,0.0,0.0,6,3,1
2023-03-13,MIS30,0.0,0.0,0.0,0.0,0.0,0,3,1
2023-03-14,MIS30,0.0,0.0,0.0,0.0,0.0,1,3,1
2023-03-15,MIS30,0.0,0.0,0.0,0.0,0.0,2,3,1
2023-03-16,MIS30,0.0,0.0,0.0,0.0,0.0,3,3,1
2023-03-17,MIS30,0.0,0.0,0.0,0.0,0.0,4,3,1
2023-03-18,MIS30,0.0,0.0,0.0,0.0,0.0,5,3,1
2023-03-19,MIS30,0.0,0.0,0.0,0.0,0.0,6,3,1
2023-03-20,MIS30,0.0,0.0,0.0,0.0,0.0,0,3,1
2023-03-21,MIS30,0.0,0.0,0.0,0.0,0.0,1,3,1
2023-03-22,MIS30,0.0,0.0,0.0,0.0,0.0,2,3,1
2023-03-23,MIS30,0.0,0.0,0.0,0.0,0.0,3,3,1
2023-03-24,MIS30,0.0,0.0,0.0,0.0,0.0,4,3,1
2023-03-25,MIS30,0.0,0.0,0.0,0.0,0.0,5,3,1
2023-03-26,MIS30,0.0,0.0,0.0,0.0,0.0,6,3,1
2023-03-27,MIS30,0.0,0.0,0.0,0.0,0.0,0,3,1
2023-03-28,MIS30,0.0,0.0,0.0,0.0,0.0,1,3,1
2023-03-29,MIS30,0.0,0.0,0.0,0.0,0.0,2,3,1
2023-03-30,MIS30,0.0,0.0,0.0,0.0,0.0,3,3,1
2023-03-31,MIS30,0.0,0.0,0.0,0.0,0.0,4,3,1
2023-04-01,MIS30,0.0,0.0,0.0,0.0,0.0,5,4,2
2023-04-02,MIS30,0.0,0.0,0.0,0.0,0.0,6,4,2
2023-04-03,MIS30,0.0,0.0,0.0,0.0,0.0,0,4,2
2023-04-04,MIS30,0.0,0.0,0.0,0.0,0.0,1,4,2
2023-04-05,MIS30,0.0,0.0,0.0,0.0,0.0,2,4,2
2023-04-06,MIS30,0.0,0.0,0.0,0.0,0.0,3,4,2
2023-04-07,MIS30,0.0,0.0,0.0,0.0,0.0,4,4,2
2023-04-08,MIS30,0.0,0.0,0.0,0.0,0.0,5,4,2
2023-04-09,MIS30,0.0,0.0,0.0,0.0,0.0,6,4,2
2023-04-10,MIS30,0.0,0.0,0.0,0.0,0.0,0,4,2
2023-04-11,MIS30,0.0,0.0,0.0,0.0,0.0,1,4,2
2023-04-12,MIS30,0.0,0.0,0.0,0.0,0.0,2,4,2
2023-04-13,MIS30,0.0,0.0,0.0,0.0,0.0,3,4,2
2023-04-14,MIS30,0.0,0.0,0.0,0.0,0.0,4,4,2
2023-04-15,MIS30,0.0,0.0,0.0,0.0,0.0,5,4,2
2023-04-16,MIS30,0.0,0.0,0.0,0.0,0.0,6,4,2
2023-04-17,MIS30,0.0,0.0,0.0,0.0,0.0,0,4,2
2023-04-18,MIS30,0.0,0.0,0.0,0.0,0.0,1,4,2
2023-04-19,MIS30,0.0,0.0,0.0,0.0,0.0,2,4,2
2023-04-20,MIS30,0.0,0.0,0.0,0.0,0.0,3,4,2
2023-04-21,MIS30,0.0,0.0,0.0,0.0,0.0,4,4,2
2023-04-22,MIS30,0.0,0.0,0.0,0.0,0.0,5,4,2
2023-04-23,MIS30,0.0,0.0,0.0,0.0,0.0,6,4,2
2023-04-24,MIS30,0.0,0.0,0.0,0.0,0.0,0,4,2
2023-04-25,MIS30,0.0,0.0,0.0,0.0,0.0,1,4,2
2023-04-26,MIS30,0.0,0.0,0.0,0.0,0.0,2,4,2
2023-04-27,MIS30,0.0,0.0,0.0,0.0,0.0,3,4,2
2023-04-28,MIS30,0.0,0.0,0.0,0.0,0.0,4,4,2
2023-04-29,MIS30,0.0,0.0,0.0,0.0,0.0,5,4,2
2023-04-30,MIS30,0.0,0.0,0.0,0.0,0.0,6,4,2
2023-05-01,MIS30,0.0,0.0,0.0,0.0,0.0,0,5,2
2023-05-02,MIS30,0.0,0.0,0.0,0.0,0.0,1,5,2
2023-05-03,MIS30,0.0,0.0,0.0,0.0,0.0,2,5,2
2023-05-04,MIS30,0.0,0.0,0.0,0.0,0.0,3,5,2
2023-05-05,MIS30,0.0,0.0,0.0,0.0,0.0,4,5,2
2023-05-06,MIS30,0.0,0.0,0.0,0.0,0.0,5,5,2
2023-05-07,MIS30,0.0,0.0,0.0,0.0,0.0,6,5,2
2023-05-08,MIS30,0.0,0.0,0.0,0.0,0.0,0,5,2
2023-05-09,MIS30,0.0,0.0,0.0,0.0,0.0,1,5,2
2023-05-10,MIS30,0.0,0.0,0.0,0.0,0.0,2,5,2
2023-05-11,MIS30,0.0,0.0,0.0,0.0,0.0,3,5,2
2023-05-12,MIS30,0.0,0.0,0.0,0.0,0.0,4,5,2
2023-05-13,MIS30,0.0,0.0,0.0,0.0,0.0,5,5,2
2023-05-14,MIS30,0.0,0.0,0.0,0.0,0.0,6,5,2
2023-05-15,MIS30,0.0,0.0,0.0,0.0,0.0,0,5,2
2023-05-16,MIS30,0.0,0.0,0.0,0.0,0.0,1,5,2
2023-05-17,MIS30,0.0,0.0,0.0,0.0,0.0,2,5,2
2023-05-18,MIS30,0.0,0.0,0.0,0.0,0.0,3,5,2
2023-05-19,MIS30,0.0,0.0,0.0,0.0,0.0,4,5,2
2023-05-20,MIS30,0.0,0.0,0.0,0.0,0.0,5,5,2
2023-05-21,MIS30,0.0,0.0,0.0,0.0,0.0,6,5,2
2023-05-22,MIS30,0.0,0.0,0.0,0.0,0.0,0,5,2
2023-05-23,MIS30,0.0,0.0,0.0,0.0,0.0,1,5,2
2023-05-24,MIS30,0.0,0.0,0.0,0.0,0.0,2,5,2
2023-05-25,MIS30,0.0,0.0,0.0,0.0,0.0,3,5,2
2023-05-26,MIS30,0.0,0.0,0.0,0.0,0.0,4,5,2
2023-05-27,MIS30,0.0,0.0,0.0,0.0,0.0,5,5,2
2023-05-28,MIS30,0.0,0.0,0.0,0.0,0.0,6,5,2
2023-05-29,MIS30,0.0,0.0,0.0,0.0,0.0,0,5,2
2023-05-30,MIS30,0.0,0.0,0.0,0.0,0.0,1,5,2
2023-05-31,MIS30,0.0,0.0,0.0,0.0,0.0,2,5,2
2023-06-01,MIS30,0.0,0.0,0.0,0.0,0.0,3,6,2
2023-06-02,MIS30,0.0,0.0,0.0,0.0,0.0,4,6,2
2023-06-03,MIS30,0.0,0.0,0.0,0.0,0.0,5,6,2
2023-06-04,MIS30,0.0,0.0,0.0,0.0,0.0,6,6,2
2023-06-05,MIS30,0.0,0.0,0.0,0.0,0.0,0,6,2
2023-06-06,MIS30,0.0,0.0,0.0,0.0,0.0,1,6,2
2023-06-07,MIS30,0.0,0.0,0.0,0.0,0.0,2,6,2
2023-06-08,MIS30,0.0,0.0,0.0,0.0,0.0,3,6,2
2023-06-09,MIS30,0.0,0.0,0.0,0.0,0.0,4,6,2
2023-06-10,MIS30,0.0,0.0,0.0,0.0,0.0,5,6,2
2023-06-11,MIS30,0.0,0.0,0.0,0.0,0.0,6,6,2
2023-06-12,MIS30,0.0,0.0,0.0,0.0,0.0,0,6,2
2023-06-13,MIS30,0.0,0.0,0.0,0.0,0.0,1,6,2
2023-06-14,MIS30,0.0,0.0,0.0,0.0,0.0,2,6,2
2023-06-15,MIS30,0.0,0.0,0.0,0.0,0.0,3,6,2
2023-06-16,MIS30,0.0,0.0,0.0,0.0,0.0,4,6,2
2023-06-17,MIS30,0.0,0.0,0.0,0.0,0.0,5,6,2
2023-06-18,MIS30,0.0,0.0,0.0,0.0,0.0,6,6,2
2023-06-19,MIS30,0.0,0.0,0.0,0.0,0.0,0,6,2
2023-06-20,MIS30,0.0,0.0,0.0,0.0,0.0,1,6,2
2023-06-21,MIS30,0.0,0.0,0.0,0.0,0.0,2,6,2
2023-06-22,MIS30,0.0,0.0,0.0,0.0,0.0,3,6,2
2023-06-23,MIS30,0.0,0.0,0.0,0.0,0.0,4,6,2
2023-06-24,MIS30,0.0,0.0,0.0,0.0,0.0,5,6,2
2023-06-25,MIS30,0.0,0.0,0.0,0.0,0.0,6,6,2
2023-06-26,MIS30,0.0,0.0,0.0,0.0,0.0,0,6,2
2023-06-27,MIS30,0.0,0.0,0.0,0.0,0.0,1,6,2
2023-06-28,MIS30,0.0,0.0,0.0,0.0,0.0,2,6,2
2023-06-29,MIS30,0.0,0.0,0.0,0.0,0.0,3,6,2
2023-06-30,MIS30,0.0,0.0,0.0,0.0,0.0,4,6,2
2023-07-01,MIS30,0.0,0.0,0.0,0.0,0.0,5,7,3
2023-07-02,MIS30,0.0,0.0,0.0,0.0,0.0,6,7,3
2023-07-03,MIS30,0.0,0.0,0.0,0.0,0.0,0,7,3
2023-07-04,MIS30,0.0,0.0,0.0,0.0,0.0,1,7,3
2023-07-05,MIS30,0.0,0.0,0.0,0.0,0.0,2,7,3
2023-07-06,MIS30,0.0,0.0,0.0,0.0,0.0,3,7,3
2023-07-07,MIS30,0.0,0.0,0.0,0.0,0.0,4,7,3
2023-07-08,MIS30,0.0,0.0,0.0,0.0,0.0,5,7,3
2023-07-09,MIS30,0.0,0.0,0.0,0.0,0.0,6,7,3
2023-07-10,MIS30,0.0,0.0,0.0,0.0,0.0,0,7,3
2023-07-11,MIS30,0.0,0.0,0.0,0.0,0.0,1,7,3
2023-07-12,MIS30,0.0,0.0,0.0,0.0,0.0,2,7,3
2023-07-13,MIS30,0.0,0.0,0.0,0.0,0.0,3,7,3
2023-07-14,MIS30,0.0,0.0,0.0,0.0,0.0,4,7,3
2023-07-15,MIS30,0.0,0.0,0.0,0.0,0.0,5,7,3
2023-07-16,MIS30,0.0,0.0,0.0,0.0,0.0,6,7,3
2023-07-17,MIS30,0.0,0.0,0.0,0.0,0.0,0,7,3
2023-07-18,MIS30,0.0,0.0,0.0,0.0,0.0,1,7,3
2023-07-19,MIS30,0.0,0.0,0.0,0.0,0.0,2,7,3
2023-07-20,MIS30,0.0,0.0,0.0,0.0,0.0,3,7,3
2023-07-21,MIS30,0.0,0.0,0.0,0.0,0.0,4,7,3
2023-07-22,MIS30,0.0,0.0,0.0,0.0,0.0,5,7,3
2023-07-23,MIS30,0.0,0.0,0.0,0.0,0.0,6,7,3
2023-07-24,MIS30,0.0,0.0,0.0,0.0,0.0,0,7,3
2023-07-25,MIS30,0.0,0.0,0.0,0.0,0.0,1,7,3
2023-07-26,MIS30,0.0,0.0,0.0,0.0,0.0,2,7,3
2023-07-27,MIS30,0.0,0.0,0.0,0.0,0.0,3,7,3
2023-07-28,MIS30,0.0,0.0,0.0,0.0,0.0,4,7,3
2023-07-29,MIS30,0.0,0.0,0.0,0.0,0.0,5,7,3
2023-07-30,MIS30,0.0,0.0,0.0,0.0,0.0,6,7,3
2023-07-31,MIS30,0.0,0.0,0.0,0.0,0.0,0,7,3
2023-08-01,MIS30,0.0,0.0,0.0,0.0,0.0,1,8,3
2023-08-02,MIS30,0.0,0.0,0.0,0.0,0.0,2,8,3
2023-08-03,MIS30,0.0,0.0,0.0,0.0,0.0,3,8,3
2023-08-04,MIS30,0.0,0.0,0.0,0.0,0.0,4,8,3
2023-08-05,MIS30,0.0,0.0,0.0,0.0,0.0,5,8,3
2023-08-06,MIS30,0.0,0.0,0.0,0.0,0.0,6,8,3
2023-08-07,MIS30,0.0,0.0,0.0,0.0,0.0,0,8,3
2023-08-08,MIS30,0.0,0.0,0.0,0.0,0.0,1,8,3
2023-08-09,MIS30,0.0,0.0,0.0,0.0,0.0,2,8,3
2023-08-10,MIS30,0.0,0.0,0.0,0.0,0.0,3,8,3
2023-08-11,MIS30,0.0,0.0,0.0,0.0,0.0,4,8,3
2023-08-12,MIS30,0.0,0.0,0.0,0.0,0.0,5,8,3
2023-08-13,MIS30,0.0,0.0,0.0,0.0,0.0,6,8,3
2023-08-14,MIS30,0.0,0.0,0.0,0.0,0.0,0,8,3
2023-08-15,MIS30,0.0,0.0,0.0,0.0,0.0,1,8,3
2023-08-16,MIS30,0.0,0.0,0.0,0.0,0.0,2,8,3
2023-08-17,MIS30,0.0,0.0,0.0,0.0,0.0,3,8,3
2023-08-18,MIS30,0.0,0.0,0.0,0.0,0.0,4,8,3
2023-08-19,MIS30,0.0,0.0,0.0,0.0,0.0,5,8,3
2023-08-20,MIS30,0.0,0.0,0.0,0.0,0.0,6,8,3
2023-08-21,MIS30,0.0,0.0,0.0,0.0,0.0,0,8,3
2023-08-22,MIS30,0.0,0.0,0.0,0.0,0.0,1,8,3
2023-08-23,MIS30,0.0,0.0,0.0,0.0,0.0,2,8,3
2023-08-24,MIS30,0.0,0.0,0.0,0.0,0.0,3,8,3
2023-08-25,MIS30,0.0,0.0,0.0,0.0,0.0,4,8,3
2023-08-26,MIS30,0.0,0.0,0.0,0.0,0.0,5,8,3
2023-08-27,MIS30,0.0,0.0,0.0,0.0,0.0,6,8,3
2023-08-28,MIS30,0.0,0.0,0.0,0.0,0.0,0,8,3
2023-08-29,MIS30,0.0,0.0,0.0,0.0,0.0,1,8,3
2023-08-30,MIS30,0.0,0.0,0.0,0.0,0.0,2,8,3
2023-08-31,MIS30,0.0,0.0,0.0,0.0,0.0,3,8,3
2023-09-01,MIS30,0.0,0.0,0.0,0.0,0.0,4,9,3
2023-09-02,MIS30,0.0,0.0,0.0,0.0,0.0,5,9,3
2023-09-03,MIS30,0.0,0.0,0.0,0.0,0.0,6,9,3
2023-09-04,MIS30,0.0,0.0,0.0,0.0,0.0,0,9,3
2023-09-05,MIS30,0.0,0.0,0.0,0.0,0.0,1,9,3
2023-09-06,MIS30,0.0,0.0,0.0,0.0,0.0,2,9,3
2023-09-07,MIS30,0.0,0.0,0.0,0.0,0.0,3,9,3
2023-09-08,MIS30,0.0,0.0,0.0,0.0,0.0,4,9,3
2023-09-09,MIS30,0.0,0.0,0.0,0.0,0.0,5,9,3
2023-09-10,MIS30,0.0,0.0,0.0,0.0,0.0,6,9,3
2023-09-11,MIS30,0.0,0.0,0.0,0.0,0.0,0,9,3
2023-09-12,MIS30,0.0,0.0,0.0,0.0,0.0,1,9,3
2023-09-13,MIS30,0.0,0.0,0.0,0.0,0.0,2,9,3
2023-09-14,MIS30,0.0,0.0,0.0,0.0,0.0,3,9,3
2023-09-15,MIS30,0.0,0.0,0.0,0.0,0.0,4,9,3
2023-09-16,MIS30,0.0,0.0,0.0,0.0,0.0,5,9,3
2023-09-17,MIS30,0.0,0.0,0.0,0.0,0.0,6,9,3
2023-09-18,MIS30,0.0,0.0,0.0,0.0,0.0,0,9,3
2023-09-19,MIS30,0.0,0.0,0.0,0.0,0.0,1,9,3
2023-09-20,MIS30,0.0,0.0,0.0,0.0,0.0,2,9,3
2023-09-21,MIS30,0.0,0.0,0.0,0.0,0.0,3,9,3
2023-09-22,MIS30,0.0,0.0,0.0,0.0,0.0,4,9,3
2023-09-23,MIS30,0.0,0.0,0.0,0.0,0.0,5,9,3
2023-09-24,MIS30,0.0,0.0,0.0,0.0,0.0,6,9,3
2023-09-25,MIS30,0.0,0.0,0.0,0.0,0.0,0,9,3
2023-09-26,MIS30,0.0,0.0,0.0,0.0,0.0,1,9,3
2023-09-27,MIS30,0.0,0.0,0.0,0.0,0.0,2,9,3
2023-09-28,MIS30,0.0,0.0,0.0,0.0,0.0,3,9,3
2023-09-29,MIS30,0.0,0.0,0.0,0.0,0.0,4,9,3
2023-09-30,MIS30,0.0,0.0,0.0,0.0,0.0,5,9,3
2023-10-01,MIS30,0.0,0.0,0.0,0.0,0.0,6,10,4
2023-10-02,MIS30,0.0,0.0,0.0,0.0,0.0,0,10,4
2023-10-03,MIS30,0.0,0.0,0.0,0.0,0.0,1,10,4
2023-10-04,MIS30,0.0,0.0,0.0,0.0,0.0,2,10,4
2023-10-05,MIS30,0.0,0.0,0.0,0.0,0.0,3,10,4
2023-10-06,MIS30,0.0,0.0,0.0,0.0,0.0,4,10,4
2023-10-07,MIS30,0.0,0.0,0.0,0.0,0.0,5,10,4
